id,checkins,name,latitude,longitude,hasMenu,rating
251,73,Aviator Pizza,30.3530124,-97.41208875,TRUE,7.1
252,558,Good Luck Grill,30.37394509,-97.52833893,TRUE,8.1
253,157,Jalisco Mexican restauraunt,30.33729604,-97.37334197,TRUE,7.5
254,50,Schlotzsky's,30.34959455,-97.38429187,TRUE,7.2
255,1274,Cafe 290,30.3484354,-97.55840063,TRUE,7.6
256,1478,Meyer's Elgin Smokehouse,30.33702718,-97.37023938,TRUE,6.9
257,5,SONIC Drive In,30.34853811,-97.38495684,TRUE,6.7
258,42,Little Caesars Pizza,30.34767687,-97.38486707,TRUE,6.4
259,516,Ramos Restaurant,30.34079094,-97.5570406,TRUE,6.9
260,40,Pizza Hut,30.33648418,-97.37156708,TRUE,6.4
261,147,KFC,30.351387,-97.41540327,TRUE,6.1
262,197,Texas Traditional BBQ,30.34846338,-97.55690304,TRUE,6.8
263,59,Taco Bell,30.34722557,-97.3836533,TRUE,6.2
264,18,Panda Express,30.348333,-97.541405,TRUE,6.5
265,155,SUBWAY,30.33707151,-97.37288625,TRUE,6.2
266,529,Sonic Drive-In #1984,30.3489994,-97.38522071,TRUE,6.1
267,49,Domino's Pizza,30.34829494,-97.55553308,TRUE,6.4
268,1047,SONIC Drive In,30.34835217,-97.55532113,TRUE,6.2
269,895,McDonald's,30.33745,-97.37249588,TRUE,5.8
270,378,SUBWAY,30.34830578,-97.55582035,TRUE,6.2
271,21,Sugar Girls,30.35204165,-97.41226826,TRUE,8.1
272,4,Little Caesar's Pizza,30.36719437,-97.42584885,TRUE,8.7
273,0,Pizza Hut,30.352235,-97.398439,TRUE,8.4
274,26,"Jalisco Mexican Restaurant, Elgin",30.33771542,-97.37366912,TRUE,8.4
275,0,Park Place Foods,30.3503594,-97.500993,TRUE,8
276,17,Lee Gardens,30.34743391,-97.38478268,TRUE,7.9
277,126,koy chinese And Sushi,30.34757128,-97.38443964,TRUE,7.9
278,10,Golden Chick,30.346566,-97.38214,TRUE,7.9
279,686,Jersey Mike's Subs,30.46391565,-97.59778533,TRUE,7.3
280,326,Panera Bread,30.46663576,-97.59625085,TRUE,7.2
281,98,In-N-Out Burger,30.464527,-97.597901,TRUE,7.1
282,16,Panera Bread,30.46538315,-97.59684205,TRUE,7.1
283,390,Raising Cane's,30.462214,-97.59871248,TRUE,7
284,684,Russo's New York Pizzeria,30.46919161,-97.59636731,TRUE,7.2
285,3505,Chick-fil-A Pflugerville,30.46592668,-97.59636799,TRUE,6.9
286,2747,Whataburger,30.46539471,-97.59700298,TRUE,6.8
287,153,Chipotle,30.46270428,-97.59822015,TRUE,6.7
288,105,Einstein Bros. Bagels,30.46283205,-97.59826563,TRUE,6.6
289,577,IHOP,30.4671879,-97.59593852,TRUE,6.6
290,434,Yaghi's New York Pizzeria,30.45298831,-97.60445416,TRUE,6.4
291,787,Shogun Japanese Grill,30.46912541,-97.59633555,TRUE,6.3
292,445,Golden Chick,30.53430224,-97.56334217,TRUE,6.2
293,544,Great Wall Express,30.44641386,-97.60791923,TRUE,6.1
294,1522,SONIC Drive In,30.44549192,-97.60781765,TRUE,6
295,1275,Chili's Grill & Bar,30.469674,-97.595399,TRUE,5.8
